"Molecular weight (g/mol)",74.12
"Gas Constant [J/(K mol)]",8.3144598

"Temperature (K)","Tr","Vapor density (kg/m^3)","Zsim","Zexd","ln(Zsim/Zexd)","Psim","Pcc_LOW","ln(Psim/Pcc_LOW)","Pcc_MID","ln(Psim/Pcc_MID)","Pcc_HIGH","ln(Psim/Pcc_HIGH)","Z outliers","P_CC_LOW outliers","P_CC_MID outliers","P_CC_HIGH outliers"
"","Lower bound","","","",-0.02,"","",-0.06,"",-0.02,"",-0.06,"","","",""
"T_r range: low","Upper bound","","","",0.05,"","",0.03,"",0.05,"",0.01,"","","",""
300.0,0.573175391669851,0.082,0.9896,0.9699661598297773,0.020039636962832792,2.729875,3.014106358770367,-0.0990475672238682,"-","-","-","-","","X","-","-"
325.0,0.6209400076423386,0.357,0.9845,0.9532498384793335,0.03225686878360531,12.795875,13.325572377879128,-0.04056207095544151,12.22408995848343,0.045714261795631206,"-","-","","","","-"
350.0,0.6687046236148262,1.163,0.9621,0.9324976987924787,0.031251711635157935,44.1855,46.898452855752055,-0.05958800579440959,43.3611678629358,0.018832390086454875,48.100597339091834,-0.0848979147633151,"","","","X"
"","Lower bound","","","",-0.06,"","",-0.06,"",-0.03,"",-0.06,"","","",""
"T_r range: mid","Upper bound","","","",0.05,"","",0.05,"",0.04,"",0.04,"","","",""
375.0,0.7164692395873138,3.142,0.9455,0.9065739950140889,0.04204123408203769,124.870875,129.91885726667888,-0.03962987731556833,121.44633371114203,0.027807736037391173,129.33862928777052,-0.03515379482804981,"","","",""
400.0,0.7642338555598013,7.236000000000001,0.907,0.8737723201102838,0.03732261170279285,294.17175,300.5643704411168,-0.021498161710566954,288.75751152921043,0.01857650499167285,309.91661750655265,-0.05213950507010878,"","","",""
425.0,0.8119984715322889,14.89,0.8537,0.8313436370008525,0.02653661237421983,605.025125,631.5650662171463,-0.042930984778488224,598.9350755111393,0.010116781981443168,626.5556046969684,-0.034967538807854304,"","","",""
"","Lower bound","","","",-0.13,"","",-0.07,"",-0.03,"",-0.05,"","","",""
"T_r range: high","Upper bound","","","",0.12,"","",0.07,"",0.04,"",0.05,"","","",""
450.0,0.8597630875047765,28.371,0.7895,0.7744109007515559,0.019297221448676814,1126.807625,1131.6667445680139,-0.004303017232420991,1113.8293827949353,0.011584551448163616,1148.5473856491114,-0.01910947707605981,"","","",""
460.0,0.8788689338937715,35.705,0.76,0.7456536067432588,0.019057275037406216,1395.629625,1387.060875227391,0.00615862731075989,1392.6952812166821,0.0021047366897715136,1417.9489928295727,-0.01586579872248528,"","","",""
470.0,0.8979747802827666,44.458,0.7271,0.7120506847899076,0.020914924274994987,1705.87525,1725.7267344657812,-0.011569934977353924,1711.0241655852196,-0.0030137963435628023,1712.9178000745242,-0.0041199101161479845,"","","",""
480.0,0.9170806266717616,55.953,0.6855,0.6720054929889259,0.019881984421963723,2079.961,2044.89439158185,0.017002997634449457,2068.212476321855,0.005664447332662803,2067.7211883957248,0.005902017839478191,"","","",""
490.0,0.9361864730607566,69.005,0.652,0.6229662241120559,0.0455522595172986,2487.876625,2563.503317093621,-0.02994522058647764,2508.682172690749,-0.008327998841362927,2515.6400855779125,-0.011097692733380349,"","","",""
500.0,0.9552923194497517,91.501,0.5879,0.5604692945603369,0.04778240662614634,3003.173875,"-","-",2959.4295485261673,0.01467315808737446,2954.5513444126827,0.016322877729071372,"","-","",""
510.0,0.9743981658387467,111.933,0.533,0.47557104467349565,0.11400514288152354,3496.480625,"-","-","-","-",3598.538623396113,-0.0287708982105368,"","-","-",""

