 T    rhog     error     rhol    error  pressure    error     compressibility
300 0.000082 0.000005 0.797205 0.000593 2.729875 0.139634  0.9896
325 0.000357 0.000013 0.776120 0.000831 12.795875 0.463240 0.9845 
350 0.001163 0.000020 0.751667 0.000338 44.185500 0.705589 0.9621
375 0.003142 0.000034 0.724163 0.000359 124.870875 1.475370 0.9455
400 0.007236 0.000099 0.692532 0.000385 294.171750 3.718925  0.9070
425 0.014890 0.000179 0.656171 0.000554 605.025125 6.203292   0.8537
450 0.028371 0.000376 0.614401 0.000746 1126.807625 12.169389 0.7895
460 0.035705 0.000480 0.594585 0.000749 1395.629625 11.431065 0.7600
470 0.044458 0.001251 0.573854 0.000686 1705.875250 30.610387 0.7271
480 0.055953 0.001797 0.550631 0.001427 2079.961000 33.797682 0.6855
490 0.069005 0.001455 0.523668 0.001557 2487.876625 24.039540 0.6520
500 0.091501 0.003977 0.494346 0.002781 3003.173875 45.064126 0.5879
510 0.111933 0.007863 0.451260 0.005672 3496.480625 42.977848 0.533
